# Wikidata Lexemes (CC0 1.0), Danish (Q9035) lexemes whose lemma contains a space. Retrieved 2026-09-25 via https://qlever.dev/api/wikidata with:
# SELECT ?l ?lemma ?cat WHERE { ?l dct:language wd:Q9035 ; wikibase:lemma ?lemma ; wikibase:lexicalCategory ?cat . FILTER(CONTAINS(STR(?lemma), " ")) }
<http://www.wikidata.org/entity/L1276031>	"haricots verts"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1276640>	"virtual reality"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1276697>	"hjemme hos-pædagog"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1276835>	"force majeure"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1277006>	"foie gras"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1277329>	"panna cotta"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1277360>	"droit moral"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1277378>	"tre i en-negleklipper"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1278385>	"lollo rosso"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1278420>	"au pair-pige"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1278686>	"mund til næse-metode"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1278767>	"ud af kroppen-oplevelse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279084>	"de jure-anerkendelse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279166>	"practical joke"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279446>	"tast selv-service"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279497>	"cherry brandy"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279516>	"haute couture"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279531>	"luft til jord-raket"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279593>	"second opinion"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279637>	"de facto-flygtning"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279740>	"multiple choice-opgave"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1279909>	"in vitro-befrugtning"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1280242>	"art deco-stil"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1280418>	"commedia dell'arte"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1280745>	"gør det selv-metode"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1280841>	"duc d'albe"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1281233>	"viola da gamba"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1281688>	"notarius publicus"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1281719>	"diner transportable"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1282245>	"science fiction"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1282535>	"laisser faire"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1282756>	"dag til dag-rente"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1283457>	"persona grata"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1283654>	"indian summer"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1283768>	"klassens time-kage"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1283870>	"social- og sundhedshjælper"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1284116>	"angina pectoris"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1284528>	"happy hour"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1284542>	"thousand island-dressing"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1284612>	"folde ud-pige"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1284665>	"gas- og vandmester"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1284704>	"syns- og skønsmand"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1285017>	"tour de force"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1285106>	"cordon bleu"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1285459>	"kør selv-ferie"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1285597>	"solar plexus"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1285849>	"pop op-shop"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1285883>	"public relation"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1285934>	"primus motor"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1286344>	"joint venture-basis"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287079>	"dags dato-kvittering"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287091>	"dark horse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287301>	"postillon d'amour"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287672>	"nasi goreng"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287708>	"heavy metal"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287811>	"pil selv-reje"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287863>	"a la carte-ret"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1287961>	"sarah bernhardt"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1288230>	"mixed double"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1288255>	"eau de cologne"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1288352>	"pop op-bog"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1288992>	"science fiction-roman"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1289456>	"graphic novel"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1289656>	"børne- og ungeydelse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1291501>	"eau de vie"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1291745>	"skalten og valten"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1291790>	"2. g'er"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1292160>	"agent provocateur"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1292653>	"modus operandi"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1292997>	"skov- og landskabsingeniør"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1293551>	"grand old man"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1294778>	"doctor honoris causa"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1294846>	"bygge- og anlægsvirksomhed"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1295107>	"menage a trois"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1296186>	"3. g'er"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1297097>	"direct mail"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1297474>	"ernærings- og husholdningsøkonom"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1297556>	"pinot blanc"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1297733>	"chapeau claque"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1298434>	"modus vivendi"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1298540>	"laterna magica"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1298871>	"blind date"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1298907>	"functional food"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1299305>	"art nouveau"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1300334>	"på fode"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L1300350>	"pinot noir"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1300678>	"direct marketing"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1300750>	"special effect"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1301282>	"danse macabre"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1301990>	"flying dutchman"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1302034>	"sarah bernhardt-kage"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1302085>	"skatte- og afgiftsminister"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1302206>	"multiple choice"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1302426>	"børne- og ungdomsforsorg"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1302642>	"grand old lady"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1302744>	"cabernet sauvignon"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1302844>	"rhythm and blues"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1303373>	"new journalism"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1303454>	"eau de parfum"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1303597>	"sudden death"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1303825>	"put and take-sø"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1303881>	"1. g'er"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1304727>	"social- og sundhedsuddannelse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1305131>	"gelée royale"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1305894>	"electric boogie"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1305911>	"by- og landzonelov"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1306410>	"bad taste"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1306584>	"primus inter pares"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1308344>	"Mariæ bebudelsesdag"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1308349>	"Kristi blodsdråbe"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1308367>	"Kristi himmelfartsdag"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1308371>	"Jomfru Marias sengehalm"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1309738>	"Aspergers syndrom"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1309740>	"Tourettes syndrom"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1309748>	"Downs syndrom"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1310096>	"man skal ikke sælge skindet før bjørnen er skudt"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1313534>	"ind ad"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L1313535>	"frem ad"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L1313556>	"döner kebab"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1313691>	"gå i tænkeboks"@da	<http://www.wikidata.org/entity/Q3734650>
<http://www.wikidata.org/entity/L1313692>	"sove på det"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1313761>	"have rent mel i posen"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1313762>	"have rene hænder"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1313781>	"en gros"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1314465>	"flad som en pandekage"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L1314473>	"med hensyn til"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L1314481>	"på trods af"@da	<http://www.wikidata.org/entity/Q1469454>
<http://www.wikidata.org/entity/L1314692>	"man skal sæd følge eller land fly"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1314693>	"skik følge eller land fly"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1314694>	"man må hyle med de ulve man er iblandt"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1314695>	"hvor der er hjerterum, er der husrum"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1319090>	"siden hen"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1321000>	"sætte tæring efter næring"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1321062>	"Als Sund"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1327776>	"gå i for små sko"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1329103>	"to go"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1329223>	"være med på vognen"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1329361>	"noget for noget"@da	<http://www.wikidata.org/entity/Q63348589>
<http://www.wikidata.org/entity/L1330158>	"Red Barnet"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1330709>	"Hells Angels"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1333815>	"lugte lunten"@da	<http://www.wikidata.org/entity/Q1778442>
<http://www.wikidata.org/entity/L1336549>	"fåre- og gedepest"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1346593>	"crepes suzette"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1347913>	"Øvre Volta"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1353848>	"rød- og hvidternet"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1354896>	"blå- og hvidternet"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1356000>	"fit for fight"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1356486>	"Sydafrikanske Republik"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356491>	"Nissum Fjord"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356499>	"Trinidad og Tobago"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356502>	"Ålbæk Bugt"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356522>	"Kap Verde"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356523>	"Ejer Bavnehøj"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356533>	"Kaspiske Hav"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356544>	"Sankt Petersborg"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356545>	"Saint Kitts og Nevis"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356546>	"Saint Vincent og Grenadinerne"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356557>	"Store Heddinge"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356566>	"Costa Rica"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356570>	"Dominikanske Republik"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356586>	"Puerto Rico"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356606>	"Sierra Leone"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356613>	"Yding Skovhøj"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356617>	"Stevns Klint"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356629>	"Papua Ny Guinea"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356637>	"Saint Lucia"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356640>	"Femern Bælt"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356642>	"Brøndby Strand"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356655>	"Møns Klint"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356669>	"El Salvador"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356685>	"Burkina Faso"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356692>	"Centralafrikanske Republik"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356709>	"Sao Tome og Principe"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356711>	"San Marino"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356714>	"Guldborg Sund"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356716>	"Sri Lanka"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356717>	"Juvre Dyb"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356722>	"Salling Sund"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356723>	"Antigua og Barbuda"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1356732>	"Nissum Bredning"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1360547>	"Røde Hav"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1373954>	"Nykøbing Falster"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1400787>	"gå over åen efter vand"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1402299>	"gør det selv-bog"@da	<http://www.wikidata.org/entity/Q1401131>
<http://www.wikidata.org/entity/L1407765>	"hvid januar"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1408749>	"mange bække små gør en stor å"@da	<http://www.wikidata.org/entity/Q35102>
<http://www.wikidata.org/entity/L1411908>	"a cappella-kor"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1417795>	"Saltbæk Vig"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1417797>	"Rold Skov"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1417805>	"Klosterhede Plantage"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1417809>	"Republikken Congo"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1417827>	"Stadil Fjord"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1417829>	"Forenede Arabiske Emirater"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1417830>	"Demokratiske Republik Congo"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1453905>	"Esrum Sø"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1454087>	"comme il faut"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1454200>	"mur- og nagelfast"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1455015>	"Høje Tåstrup"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1455016>	"Nykøbing Sjælland"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1455017>	"Nykøbing Mors"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1455546>	"spot on"@da	<http://www.wikidata.org/entity/Q34698>
<http://www.wikidata.org/entity/L1463250>	"poste restante"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1465778>	"Nykøbing F"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1465779>	"Nykøbing M"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1465780>	"Nykøbing S"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1473408>	"ris til egen røv"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473665>	"få sved på panden"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473666>	"den der kommer først til mølle, får først malet"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473667>	"fri fugl"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473668>	"én fugl i hånden er bedre end ti på taget"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473685>	"man skal ikke gå over åen efter vand"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473686>	"når katten er ude, spiller musene på bordet"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473688>	"liden tue kan vælte stort læs"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1473689>	"lille og vågen er bedre end stor og doven"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1474302>	"gå bersærkergang"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1474343>	"tale er sølv, men tavshed er guld"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1474953>	"feje for sin egen dør"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1474954>	"fej selv for din egen dør, før du fejer for andres"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1475031>	"den man tugter, elsker man"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1475032>	"bedre sent end aldrig"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1475033>	"sælg ikke skindet, før bjørnen er skudt"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1475052>	"holde mange bolde i luften"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1475053>	"tung at danse med"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1475056>	"uden mad og drikke duer helten ikke"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1475059>	"man skal kravle, før man kan gå"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1500745>	"da capo"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1500765>	"in absentia"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1500768>	"summa summarum"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1500770>	"in persona"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1502983>	"par excellence"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1502988>	"en miniature"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1502990>	"for resten"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1502995>	"i mente"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1503014>	"her til lands"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1503305>	"et cetera"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1504411>	"take it or leave it"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L1504419>	"gyng gang"@da	<http://www.wikidata.org/entity/Q83034>
<http://www.wikidata.org/entity/L1531802>	"post festum"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1531915>	"in triplo"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1531946>	"in extenso"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1531947>	"a la carte"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1553192>	"nerver af stål"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1556620>	"være så klog at man kan undvære hovedet"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1559216>	"Gamle Lillebæltsbro"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1559218>	"Ny Lillebæltsbro"@da	<http://www.wikidata.org/entity/Q147276>
<http://www.wikidata.org/entity/L1562107>	"en passant"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1562120>	"vande høns"@da	<http://www.wikidata.org/entity/Q187931>
<http://www.wikidata.org/entity/L1565281>	"gør det selv-kvinde"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1565295>	"in spe"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1566426>	"gud hjælpe mig"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1566453>	"in duplo"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1566454>	"in solidum"@da	<http://www.wikidata.org/entity/Q380057>
<http://www.wikidata.org/entity/L1566457>	"pro persona"@da	<http://www.wikidata.org/entity/Q380057>
